#r     goo      goh      ghh
10.23 1.0013   1.0009   1.0033
10.26 1.0018   1.0009   1.0032
10.29 1.0022   1.0010   1.0031
10.32 1.0025   1.0011   1.0031
10.35 1.0028   1.0010   1.0030
10.38 1.0029   1.0012   1.0030
10.41 1.0031   1.0012   1.0028
10.44 1.0036   1.0012   1.0028
10.47 1.0036   1.0012   1.0027
10.50 1.0037   1.0013   1.0027
10.53 1.0040   1.0013   1.0026
10.56 1.0041   1.0012   1.0024
10.59 1.0041   1.0013   1.0024
10.62 1.0037   1.0014   1.0023
10.65 1.0040   1.0013   1.0022
10.68 1.0039   1.0015   1.0022
10.71 1.0041   1.0014   1.0020
10.74 1.0040   1.0017   1.0020
10.77 1.0039   1.0016   1.0018
10.80 1.0037   1.0014   1.0016
10.83 1.0035   1.0015   1.0017
10.86 1.0033   1.0018   1.0015
10.89 1.0034   1.0017   1.0014
10.92 1.0031   1.0018   1.0013
10.95 1.0029   1.0018   1.0012
10.98 1.0027   1.0017   1.0009
11.01 1.0026   1.0018   1.0009
11.04 1.0022   1.0019   1.0007
11.07 1.0019   1.0019   1.0005
11.10 1.0018   1.0018   1.0004
11.13 1.0015   1.0019   1.0003
11.16 1.0013   1.0018   1.0000
11.19 1.0010   1.0018   0.9999
11.22 1.0008   1.0016   0.9998
11.25 1.0005   1.0016   0.9996
11.28 1.0001   1.0015   0.9995
11.31 0.9997   1.0014   0.9994
11.34 0.9995   1.0013   0.9991
11.37 0.9991   1.0012   0.9990
11.40 0.9989   1.0011   0.9989
11.43 0.9987   1.0010   0.9987
11.46 0.9982   1.0008   0.9986
11.49 0.9983   1.0006   0.9986
11.52 0.9982   1.0004   0.9984
11.55 0.9979   1.0004   0.9984
11.58 0.9977   1.0001   0.9984
11.61 0.9976   1.0000   0.9984
11.64 0.9975   0.9998   0.9984
11.67 0.9976   0.9995   0.9984
11.70 0.9973   0.9993   0.9984
11.73 0.9974   0.9991   0.9984
11.76 0.9971   0.9989   0.9985
11.79 0.9974   0.9988   0.9986
11.82 0.9972   0.9984   0.9987
11.85 0.9973   0.9984   0.9988
11.88 0.9974   0.9981   0.9989
11.91 0.9973   0.9980   0.9990
11.94 0.9975   0.9978   0.9992
11.97 0.9974   0.9976   0.9992
12.00 0.9974   0.9975   0.9993
12.03 0.9975   0.9974   0.9995
12.06 0.9977   0.9974   0.9996
12.09 0.9977   0.9973   0.9996
12.12 0.9978   0.9971   0.9997
12.15 0.9978   0.9972   0.9998
12.18 0.9981   0.9971   0.9998
12.21 0.9981   0.9972   0.9998
12.24 0.9982   0.9972   0.9997
12.27 0.9982   0.9972   0.9997
12.30 0.9984   0.9972   0.9997
12.33 0.9984   0.9974   0.9998
12.36 0.9985   0.9974   0.9997
12.39 0.9987   0.9975   0.9997
12.42 0.9987   0.9975   0.9997
12.45 0.9989   0.9978   0.9997
12.48 0.9989   0.9980   0.9997
12.51 0.9991   0.9980   0.9996
12.54 0.9992   0.9982   0.9995
12.57 0.9992   0.9983   0.9994
12.60 0.9993   0.9985   0.9994
12.63 0.9993   0.9987   0.9994
12.66 0.9996   0.9989   0.9994
12.69 0.9996   0.9990   0.9994
12.72 0.9997   0.9992   0.9994
12.75 0.9997   0.9994   0.9993
12.78 0.9999   0.9996   0.9993
